PlayTimeHours,InGamePurchases,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
16.27111876,0,6,108,79,25,Medium
5.525961381,0,5,144,11,10,Medium
8.223755243,0,16,142,35,41,High
5.265351277,1,9,85,57,47,Medium
15.53194452,0,2,131,95,37,Medium
20.56185541,0,2,81,74,22,Low
9.752716366,0,1,50,13,2,Low
4.401729345,0,10,48,27,23,Medium
18.1527326,0,5,101,23,41,Medium
23.94277173,0,13,95,99,36,High
4.829915834,0,8,95,14,12,High
5.535980925,1,16,124,62,31,High
18.77623381,1,9,18,52,32,High
8.701959181,0,0,156,33,47,Low
17.97520048,0,8,41,98,1,Low
7.951511339,0,10,156,58,24,High
17.88789846,0,16,154,62,4,High
17.2721129,0,2,131,13,9,Low
19.41607874,0,3,135,77,25,Medium
19.33882552,0,4,56,21,30,Low
1.722580982,0,2,177,34,37,Medium
16.16768979,0,18,159,36,33,High
10.44812619,0,2,120,81,5,Low
17.95983486,0,14,117,40,19,High
22.5647231,0,12,161,1,22,High
10.31145992,0,4,82,1,7,Medium
4.898342486,0,12,118,71,26,High
14.59442464,0,18,177,59,18,High
3.218365078,0,14,57,2,1,Medium
4.128575768,0,1,155,85,37,Low
22.85867254,0,3,67,35,2,Low
3.374945772,1,5,70,50,11,Medium
14.52763877,0,0,127,48,48,Low
18.96432413,0,19,48,62,42,Medium
11.7289647,0,0,120,24,18,Low
17.4912581,0,18,166,24,17,High
13.77645119,0,19,28,79,41,Medium
23.95834938,0,17,61,26,26,Medium
1.90800715,0,11,112,14,0,Medium
5.560105968,0,3,116,52,44,Medium
13.71408701,1,15,43,93,29,Medium
12.2839258,0,4,151,76,35,Medium
2.244646563,0,15,68,88,39,Medium
13.15380958,0,12,115,98,7,Medium
2.619633553,0,14,149,10,34,High
16.58532905,0,19,65,34,46,Medium
15.65317441,0,17,176,45,43,High
1.59597872,0,3,31,73,49,Low
11.19805668,0,19,77,51,38,High
17.06770114,0,8,94,31,13,Medium
19.21649489,0,3,146,22,32,Medium
0.874188107,0,8,45,19,21,High
11.21671386,0,8,134,64,25,Medium
23.70289732,1,1,50,95,26,Low
9.210122598,1,15,171,6,16,High
12.81893093,1,8,46,8,0,Medium
7.181065651,0,8,139,20,1,Medium
1.321635145,1,15,36,88,36,Medium
21.68627463,0,15,148,73,43,High
15.15413864,0,9,153,46,19,Medium
12.55512157,0,11,138,27,13,High
19.46356366,0,19,155,35,30,High
3.529623978,0,2,94,76,42,Medium
20.85593529,0,16,140,10,16,High
14.627357,0,1,16,38,43,Low
17.00264693,1,16,135,80,43,High
14.89617752,0,6,49,58,42,Medium
19.75297185,0,7,46,26,47,Medium
19.0253094,0,13,30,3,40,Medium
13.7246485,1,17,167,72,24,High
20.16071101,0,13,79,29,32,Medium
18.85035866,0,7,111,45,2,Medium
12.08218179,1,7,79,46,32,Medium
2.262378869,0,12,131,12,37,High
20.81294908,1,19,109,91,48,High
9.009114579,0,14,106,23,1,High
19.66355595,1,3,29,9,30,Low
18.53536572,1,0,83,15,4,Low
2.040757121,1,12,70,33,33,Medium
6.534987239,0,10,14,15,25,Low
19.86081236,1,1,139,24,0,Low
13.98102648,0,12,34,14,15,Medium
7.743327855,0,5,77,40,38,Medium
3.799376062,1,12,41,73,10,Medium
10.39151841,0,19,102,14,24,High
15.07465365,0,4,117,4,49,Medium
8.4576517,1,3,122,89,24,Medium
14.43220152,0,18,14,78,4,Low
19.50170792,0,11,147,40,49,High
6.496475465,1,8,107,11,7,Medium
2.149495213,0,14,36,59,35,Medium
4.313328381,0,1,73,76,15,Low
5.694275828,1,7,12,77,28,Low
3.109332626,0,0,99,80,42,Low
9.744040837,1,4,32,33,42,Low
7.838044518,0,19,126,3,14,High
9.208410715,1,1,84,61,39,Low
8.644038309,0,3,117,1,11,Medium
5.970601392,0,11,55,54,37,Medium
15.37717222,0,14,93,65,42,High
5.805040224,0,5,40,89,29,Medium
22.35082463,0,11,109,53,18,Medium
7.648375781,0,2,33,54,33,Low
22.87669254,0,8,91,38,14,Medium
4.557998876,0,16,36,22,36,Medium
2.067384129,1,15,101,73,45,High
7.383373196,0,15,24,56,17,Medium
7.733396193,0,17,72,45,48,Medium
19.40450332,1,9,127,75,32,Medium
18.55396821,0,12,96,2,21,Medium
4.456026911,0,16,121,10,35,High
