PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
16.27111876,6,108,79,25,1
5.525961381,5,144,11,10,1
4.829915834,8,95,14,12,2
8.701959181,0,156,33,47,0
17.88789846,16,154,62,4,2
17.95983486,14,117,40,19,2
4.898342486,12,118,71,26,2
11.7289647,0,120,24,18,0
23.95834938,17,61,26,26,1
13.71408701,15,43,93,29,1
1.59597872,3,31,73,49,0
15.15413864,9,153,46,19,1
19.46356366,19,155,35,30,2
18.85035866,7,111,45,2,1
2.262378869,12,131,12,37,2
19.66355595,3,29,9,30,0
18.53536572,0,83,15,4,0
19.50170792,11,147,40,49,2
9.744040837,4,32,33,42,0
9.208410715,1,84,61,39,0
8.644038309,3,117,1,11,1
22.35082463,11,109,53,18,1
19.40450332,9,127,75,32,1
18.55396821,12,96,2,21,1
6.549913699,18,111,34,9,2
11.92937855,11,75,69,25,1
16.59168748,13,124,35,43,2
18.49464367,2,65,92,45,1
18.22465546,1,70,5,43,0
9.483212067,7,78,54,36,1
19.39030955,11,27,23,13,0
3.844683182,3,159,8,44,0
21.99256343,9,138,13,19,1
20.42787245,3,138,36,30,1
21.26668304,18,164,26,41,2
13.00004809,0,146,4,13,0
6.831045096,4,166,81,31,1
11.59711868,15,67,83,27,1
20.12914668,3,80,5,41,0
4.372198465,16,31,20,20,1
3.216007888,13,50,10,2,1
4.110147347,12,90,67,35,1
9.634591876,5,48,84,15,0
13.77459934,14,102,54,44,2
20.25525908,12,125,54,26,2
13.92884178,10,103,94,8,1
21.39170309,15,166,12,42,2
18.68207057,4,169,78,5,1
8.856054522,15,70,26,29,1
4.453186249,0,146,58,37,0
9.984728802,12,61,88,42,1
23.05222849,11,144,49,41,2
9.289914071,9,42,68,14,1
13.72198451,15,165,71,8,2
18.28915432,11,56,63,9,1
4.374306506,2,93,77,7,0
20.18244182,8,92,95,49,1
0.673669432,16,124,7,45,2
1.860823618,4,20,19,19,0
12.82216115,7,156,81,34,1
2.079493865,16,77,69,32,1
12.62787625,10,69,53,6,1
13.86505721,6,79,38,17,1
10.16705815,15,80,46,46,1
17.64640285,16,96,96,41,2
4.274060785,13,74,98,37,1
8.047579746,15,173,5,19,2
19.91109834,2,138,62,8,0
20.78943147,4,113,15,5,1
19.77530023,9,41,84,15,1
14.87213844,17,34,46,12,1
10.01709331,9,14,87,9,0
23.60555571,17,102,49,17,2
10.15515874,13,50,78,49,1
10.29438525,17,123,28,18,2
17.07555243,4,90,66,16,1
19.99388413,12,121,37,15,0
7.825932651,2,110,19,38,0
15.26977232,15,171,97,39,2
11.20166051,18,51,53,42,1
17.14746513,2,89,69,23,0
15.70588017,18,169,23,49,2
17.28621739,19,148,20,36,2
20.41388276,14,165,72,48,2
17.85888209,8,108,92,1,1
13.95751166,2,52,87,31,0
17.48349975,6,118,53,8,1
2.711745664,15,37,94,9,1
9.042405257,14,139,43,30,2
15.93380067,3,175,6,17,1
16.01570947,17,158,36,27,2
23.43928271,10,89,72,31,1
20.29249239,12,174,31,43,2
2.445358819,0,160,16,37,0
13.68407735,4,68,88,8,0
3.725990736,12,54,51,30,1
14.8878853,11,172,8,21,2
19.76077624,7,161,86,0,1
23.741391,3,28,55,31,0
8.28842382,3,29,36,29,0
10.07748329,15,114,68,42,2
20.60883222,15,18,32,4,0
15.56684314,4,115,45,26,0
21.74959376,7,96,57,8,1
11.40551877,13,117,44,31,1
20.2818854,6,87,25,14,1
11.64310031,19,121,32,26,2
9.198184521,17,106,63,7,2
23.57483716,7,97,11,17,1
19.09104761,7,153,50,16,1
15.70604101,16,69,5,43,1
9.76702237,3,138,22,4,2
14.05855874,0,34,24,19,0
6.946887764,8,139,3,3,1
14.67844185,14,63,92,17,1
14.20665214,10,61,71,33,1
13.62761363,17,91,52,39,2
9.944601166,16,114,66,42,2
18.81687092,16,68,32,19,1
4.568673397,11,25,84,18,1
3.247021641,10,140,46,12,1
13.76505042,0,159,66,25,0
21.58161856,8,111,9,1,1
16.39426082,15,95,73,41,2
21.25513141,0,132,33,12,0
13.23064383,3,135,78,42,2
16.69247652,13,34,56,12,1
18.72373454,5,84,48,48,1
13.23793477,7,63,40,5,1
